
=== joint_decoder_frozen ===
Command:
/home/medcvr/miniconda3/envs/vsmae/bin/python3.10 /home/medcvr/Desktop/hamza/multicam-vit/MultiModalViT/pretrain_vtmae_joint_decoder_frozen.py --env_name button-press-topdown-v3 --camera_names gripperPOV corner2 corner3 --frame_stack 3 --action_repeat 2 --patch_size 6 --batch_size 32 --log_every 100 --save_every 1000 --vis_every 10000 --steps 50000 --out /home/medcvr/Desktop/hamza/multicam-vit/MultiModalViT/seq_runs2/joint_decoder_frozen_20260404_002915/vtmae_joint_decoder_frozen_50000.pt --preview_dir /home/medcvr/Desktop/hamza/multicam-vit/MultiModalViT/seq_runs2/joint_decoder_frozen_20260404_002915/previews
[JOINT-DECODER-FROZEN-3CAM] channels=9, views=3, size=(84,84)
[JOINT-DECODER-FROZEN-3CAM] cameras=['gripperPOV', 'corner2', 'corner3']
[JOINT-DECODER-FROZEN-3CAM] steps=50000 distill_mode=cosine single_recon=1 warmup=0 decoder_frozen_on_single_recon=1
VT-MAE: Multi-view ViT patch tokeniser (3-view dynamic masking)
[Params] total=4,860,244 trainable=4,860,244
[Weights] full_recon=1.0 single_recon=1.0 distill=1.0 single_branch_decoder_grad=0
[100/50000] total=0.0772 ema=0.7080 full=0.0316 single=0.0447 distill=0.0009 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0212 full_v1=0.0420 full_v2=0.0315 single_by_cam[cam0=0.0481 cam1=0.0418 cam2=0.0440] distill_by_cam[cam0=0.0011 cam1=0.0009 cam2=0.0009]
[200/50000] total=0.0515 ema=0.2975 full=0.0193 single=0.0315 distill=0.0007 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0141 full_v1=0.0220 full_v2=0.0217 single_by_cam[cam0=0.0365 cam1=0.0266 cam2=0.0315] distill_by_cam[cam0=0.0009 cam1=0.0006 cam2=0.0006]
[300/50000] total=0.0470 ema=0.1393 full=0.0166 single=0.0299 distill=0.0005 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0143 full_v1=0.0174 full_v2=0.0180 single_by_cam[cam0=0.0342 cam1=0.0250 cam2=0.0304] distill_by_cam[cam0=0.0008 cam1=0.0005 cam2=0.0004]
[400/50000] total=0.0470 ema=0.0804 full=0.0160 single=0.0307 distill=0.0003 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0144 full_v1=0.0165 full_v2=0.0170 single_by_cam[cam0=0.0347 cam1=0.0242 cam2=0.0332] distill_by_cam[cam0=0.0003 cam1=0.0004 cam2=0.0002]
[500/50000] total=0.0434 ema=0.0572 full=0.0136 single=0.0296 distill=0.0002 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0121 full_v1=0.0136 full_v2=0.0150 single_by_cam[cam0=0.0319 cam1=0.0263 cam2=0.0305] distill_by_cam[cam0=0.0002 cam1=0.0001 cam2=0.0002]
[600/50000] total=0.0391 ema=0.0473 full=0.0120 single=0.0268 distill=0.0002 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0115 full_v1=0.0118 full_v2=0.0129 single_by_cam[cam0=0.0312 cam1=0.0227 cam2=0.0266] distill_by_cam[cam0=0.0002 cam1=0.0002 cam2=0.0001]
[700/50000] total=0.0372 ema=0.0420 full=0.0110 single=0.0259 distill=0.0004 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0103 full_v1=0.0105 full_v2=0.0122 single_by_cam[cam0=0.0319 cam1=0.0204 cam2=0.0253] distill_by_cam[cam0=0.0004 cam1=0.0003 cam2=0.0004]
[800/50000] total=0.0331 ema=0.0384 full=0.0095 single=0.0232 distill=0.0003 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0084 full_v1=0.0094 full_v2=0.0108 single_by_cam[cam0=0.0306 cam1=0.0176 cam2=0.0215] distill_by_cam[cam0=0.0005 cam1=0.0002 cam2=0.0003]
[900/50000] total=0.0339 ema=0.0352 full=0.0104 single=0.0232 distill=0.0004 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0118 full_v1=0.0084 full_v2=0.0109 single_by_cam[cam0=0.0310 cam1=0.0171 cam2=0.0214] distill_by_cam[cam0=0.0003 cam1=0.0004 cam2=0.0004]
[1000/50000] total=0.0296 ema=0.0335 full=0.0081 single=0.0208 distill=0.0006 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0097 full_v1=0.0062 full_v2=0.0085 single_by_cam[cam0=0.0304 cam1=0.0145 cam2=0.0177] distill_by_cam[cam0=0.0002 cam1=0.0011 cam2=0.0005]
[1100/50000] total=0.0308 ema=0.0319 full=0.0083 single=0.0217 distill=0.0007 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0121 full_v1=0.0056 full_v2=0.0073 single_by_cam[cam0=0.0315 cam1=0.0147 cam2=0.0190] distill_by_cam[cam0=0.0003 cam1=0.0008 cam2=0.0011]
[1200/50000] total=0.0288 ema=0.0311 full=0.0076 single=0.0204 distill=0.0008 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0085 full_v1=0.0056 full_v2=0.0087 single_by_cam[cam0=0.0311 cam1=0.0134 cam2=0.0166] distill_by_cam[cam0=0.0004 cam1=0.0009 cam2=0.0012]
[1300/50000] total=0.0282 ema=0.0298 full=0.0066 single=0.0208 distill=0.0007 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0085 full_v1=0.0042 full_v2=0.0071 single_by_cam[cam0=0.0316 cam1=0.0135 cam2=0.0173] distill_by_cam[cam0=0.0005 cam1=0.0009 cam2=0.0008]
[1400/50000] total=0.0270 ema=0.0285 full=0.0068 single=0.0198 distill=0.0005 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0057 full_v1=0.0051 full_v2=0.0096 single_by_cam[cam0=0.0290 cam1=0.0142 cam2=0.0161] distill_by_cam[cam0=0.0004 cam1=0.0004 cam2=0.0006]
[1500/50000] total=0.0239 ema=0.0267 full=0.0059 single=0.0178 distill=0.0002 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0061 full_v1=0.0043 full_v2=0.0074 single_by_cam[cam0=0.0267 cam1=0.0115 cam2=0.0152] distill_by_cam[cam0=0.0001 cam1=0.0002 cam2=0.0003]
