
=== distill ===
Command:
/home/medcvr/miniconda3/envs/vsmae/bin/python3.10 /home/medcvr/Desktop/hamza/multicam-vit/MultiModalViT/pretrain_vtmae_distill.py --camera_names gripperPOV corner corner2 --frame_stack 3 --action_repeat 2 --patch_size 6 --batch_size 32 --log_every 100 --save_every 1000 --vis_every 10000 --stage1_steps 25000 --stage2_steps 25000 --stage1_out /home/medcvr/Desktop/hamza/multicam-vit/MultiModalViT/seq_runs/distill_20260329_173506/vtmae_distill_50000_stage1_teacher.pt --out /home/medcvr/Desktop/hamza/multicam-vit/MultiModalViT/seq_runs/distill_20260329_173506/vtmae_distill_50000.pt --stage1_preview_dir /home/medcvr/Desktop/hamza/multicam-vit/MultiModalViT/seq_runs/distill_20260329_173506/stage1_previews --stage2_preview_dir /home/medcvr/Desktop/hamza/multicam-vit/MultiModalViT/seq_runs/distill_20260329_173506/stage2_previews
[DISTILL-3CAM] channels=9, views=3, size=(84,84)
[DISTILL-3CAM] cameras=['gripperPOV', 'corner', 'corner2']
[DISTILL-3CAM] stage1_steps=25000 stage2_steps=25000 teacher_checkpoint=None freeze_stage2_decoder=1
VT-MAE: Multi-view ViT patch tokeniser (3-view dynamic masking)
[Stage1] parent total=4,860,244 trainable=4,860,244
[Stage1 4300/25000] total=0.0038 ema=0.0032 v0=0.0050 v1=0.0033 v2=0.0030
[Stage1 4400/25000] total=0.0027 ema=0.0031 v0=0.0041 v1=0.0023 v2=0.0017
[Stage1 4500/25000] total=0.0024 ema=0.0031 v0=0.0025 v1=0.0028 v2=0.0018
[Stage1 4600/25000] total=0.0028 ema=0.0031 v0=0.0031 v1=0.0028 v2=0.0024
[Stage1 4700/25000] total=0.0025 ema=0.0030 v0=0.0031 v1=0.0027 v2=0.0018
[Stage1 4800/25000] total=0.0047 ema=0.0033 v0=0.0035 v1=0.0045 v2=0.0062
[Stage1 4900/25000] total=0.0030 ema=0.0032 v0=0.0032 v1=0.0031 v2=0.0027
[Stage1 5000/25000] total=0.0045 ema=0.0031 v0=0.0075 v1=0.0031 v2=0.0029
[Stage1 5100/25000] total=0.0026 ema=0.0032 v0=0.0027 v1=0.0030 v2=0.0021
[Stage1 5200/25000] total=0.0021 ema=0.0029 v0=0.0022 v1=0.0022 v2=0.0018
[Stage1 5300/25000] total=0.0037 ema=0.0028 v0=0.0029 v1=0.0051 v2=0.0032
[Stage1 5400/25000] total=0.0026 ema=0.0028 v0=0.0033 v1=0.0026 v2=0.0018
[Stage1 5500/25000] total=0.0029 ema=0.0028 v0=0.0038 v1=0.0032 v2=0.0017
[Stage1 5600/25000] total=0.0030 ema=0.0028 v0=0.0041 v1=0.0025 v2=0.0023
[Stage1 5700/25000] total=0.0025 ema=0.0028 v0=0.0026 v1=0.0032 v2=0.0018
[Stage1 5800/25000] total=0.0020 ema=0.0028 v0=0.0023 v1=0.0023 v2=0.0015
[Stage1 5900/25000] total=0.0023 ema=0.0028 v0=0.0022 v1=0.0025 v2=0.0020
[Stage1 6000/25000] total=0.0024 ema=0.0026 v0=0.0027 v1=0.0027 v2=0.0019
[Stage1 6100/25000] total=0.0031 ema=0.0027 v0=0.0025 v1=0.0043 v2=0.0025
[Stage1 6200/25000] total=0.0026 ema=0.0026 v0=0.0028 v1=0.0033 v2=0.0017
[Stage1 6300/25000] total=0.0029 ema=0.0026 v0=0.0040 v1=0.0028 v2=0.0020
[Stage1 6400/25000] total=0.0020 ema=0.0026 v0=0.0022 v1=0.0024 v2=0.0015
[Stage1 6500/25000] total=0.0031 ema=0.0026 v0=0.0038 v1=0.0031 v2=0.0025
[Stage1 6600/25000] total=0.0021 ema=0.0026 v0=0.0024 v1=0.0023 v2=0.0016
[Stage1 6700/25000] total=0.0023 ema=0.0026 v0=0.0027 v1=0.0025 v2=0.0018
[Stage1 6800/25000] total=0.0031 ema=0.0026 v0=0.0038 v1=0.0033 v2=0.0022
[Stage1 6900/25000] total=0.0023 ema=0.0025 v0=0.0024 v1=0.0024 v2=0.0021
[Stage1 7000/25000] total=0.0023 ema=0.0025 v0=0.0021 v1=0.0029 v2=0.0020
[Stage1 7100/25000] total=0.0030 ema=0.0025 v0=0.0026 v1=0.0038 v2=0.0026
[Stage1 7200/25000] total=0.0023 ema=0.0025 v0=0.0022 v1=0.0025 v2=0.0023
[Stage1 7300/25000] total=0.0044 ema=0.0026 v0=0.0068 v1=0.0030 v2=0.0035
[Stage1 7400/25000] total=0.0022 ema=0.0025 v0=0.0021 v1=0.0028 v2=0.0016
[Stage1 7500/25000] total=0.0025 ema=0.0024 v0=0.0031 v1=0.0024 v2=0.0021
[Stage1 7600/25000] total=0.0020 ema=0.0024 v0=0.0018 v1=0.0025 v2=0.0016
[Stage1 7700/25000] total=0.0027 ema=0.0025 v0=0.0032 v1=0.0029 v2=0.0021
[Stage1 7800/25000] total=0.0018 ema=0.0026 v0=0.0015 v1=0.0023 v2=0.0015
[Stage1 7900/25000] total=0.0022 ema=0.0025 v0=0.0019 v1=0.0030 v2=0.0017
[Stage1 8000/25000] total=0.0023 ema=0.0024 v0=0.0025 v1=0.0025 v2=0.0020
[Stage1 8100/25000] total=0.0019 ema=0.0023 v0=0.0015 v1=0.0023 v2=0.0018
[Stage1 8200/25000] total=0.0025 ema=0.0024 v0=0.0034 v1=0.0023 v2=0.0019
[Stage1 8300/25000] total=0.0017 ema=0.0023 v0=0.0017 v1=0.0020 v2=0.0013
[Stage1 8400/25000] total=0.0019 ema=0.0024 v0=0.0022 v1=0.0020 v2=0.0014
[Stage1 8500/25000] total=0.0032 ema=0.0024 v0=0.0047 v1=0.0029 v2=0.0021
[Stage1 8600/25000] total=0.0025 ema=0.0024 v0=0.0021 v1=0.0031 v2=0.0023
[Stage1 8700/25000] total=0.0020 ema=0.0023 v0=0.0028 v1=0.0018 v2=0.0014
[Stage1 8800/25000] total=0.0017 ema=0.0023 v0=0.0019 v1=0.0018 v2=0.0015
[Stage1 8900/25000] total=0.0017 ema=0.0023 v0=0.0018 v1=0.0020 v2=0.0014
[Stage1 9000/25000] total=0.0020 ema=0.0022 v0=0.0017 v1=0.0025 v2=0.0020
[Stage1 9100/25000] total=0.0023 ema=0.0023 v0=0.0016 v1=0.0027 v2=0.0026
[Stage1 9200/25000] total=0.0018 ema=0.0022 v0=0.0020 v1=0.0021 v2=0.0013
[Stage1 9300/25000] total=0.0019 ema=0.0022 v0=0.0019 v1=0.0022 v2=0.0016
[Stage1 9400/25000] total=0.0025 ema=0.0022 v0=0.0026 v1=0.0025 v2=0.0025
[Stage1 9500/25000] total=0.0023 ema=0.0023 v0=0.0017 v1=0.0032 v2=0.0019
[Stage1 9600/25000] total=0.0022 ema=0.0023 v0=0.0026 v1=0.0021 v2=0.0020
[Stage1 9700/25000] total=0.0015 ema=0.0022 v0=0.0017 v1=0.0015 v2=0.0011
[Stage1 9800/25000] total=0.0019 ema=0.0022 v0=0.0021 v1=0.0021 v2=0.0016
[Stage1 9900/25000] total=0.0028 ema=0.0023 v0=0.0036 v1=0.0029 v2=0.0019
[Stage1 10000/25000] total=0.0028 ema=0.0022 v0=0.0021 v1=0.0036 v2=0.0028
[Stage1 10100/25000] total=0.0024 ema=0.0022 v0=0.0029 v1=0.0026 v2=0.0017
[Stage1 10200/25000] total=0.0017 ema=0.0022 v0=0.0016 v1=0.0020 v2=0.0014
[Stage1 10300/25000] total=0.0019 ema=0.0021 v0=0.0020 v1=0.0024 v2=0.0014
[Stage1 10400/25000] total=0.0025 ema=0.0021 v0=0.0024 v1=0.0029 v2=0.0022
