seed,step,first_reward,third1_reward,third2_reward,first+third1+third2_reward,first_success,third1_success,third2_success,first+third1+third2_success
1,0,5.541669960892955,5.175735102749309,6.3631066553643905,6.0232407375850014,0.0,0.0,0.0,0.0
1,25000,56.38422214800812,40.51460996936366,49.90772712693456,74.24156092618796,0.0,0.0,0.0,0.0
1,50000,26.533408273069654,108.34546093667345,25.577831732097074,132.62153036262026,0.0,0.0,0.0,0.0
1,75000,242.34349893696708,381.46656103117857,346.4736139496261,421.7372636346199,0.0,0.0,0.0,0.0
1,100000,362.11755687474505,449.6464158100807,362.36615946191597,463.6569664643521,0.0,25.0,0.0,15.0
1,125000,345.70202586623935,248.20673645396838,42.754435218073375,1166.4725526866982,15.0,15.0,0.0,80.0
1,150000,641.1348809043469,663.0084486936689,313.17268888183753,1268.7761395520406,40.0,40.0,15.0,80.0
1,175000,775.1596972378363,1362.741681615406,1133.77420362767,1474.3384145075606,45.0,95.0,75.0,95.0
1,200000,467.03062694151157,1211.0354463994852,1123.6365024315237,1523.3094649696839,20.0,80.0,75.0,90.0
1,225000,550.6060767658607,1426.9492524468412,943.3849267535552,1570.297949593328,35.0,95.0,70.0,90.0
1,250000,850.7669540646972,1247.4801176700742,966.624892810436,1598.5191396353766,50.0,85.0,85.0,100.0
1,275000,779.501991495616,1049.6895080610761,190.16601603317903,1606.373656046088,40.0,55.00000000000001,20.0,100.0
1,300000,937.9630566348744,388.52475696576477,8.212874701485452,1475.2554015262517,55.00000000000001,35.0,0.0,100.0
1,325000,1174.0332676411963,632.66478149304,253.6670094246189,1620.3929249759763,70.0,40.0,15.0,100.0
1,350000,486.15776839883364,1113.2752822672687,272.8069016624528,1634.8036257000524,40.0,85.0,20.0,100.0
1,375000,1153.4318393983115,1341.3721523517183,482.615873281564,1636.4061975296586,85.0,100.0,35.0,100.0
1,400000,976.9175708964882,1305.050679926238,759.9690964658308,1638.242459220998,60.0,85.0,80.0,100.0
1,425000,960.8124600908975,763.4338821784343,292.14184437274014,1627.3339814395645,65.0,65.0,20.0,100.0
1,450000,626.0057682217066,709.1304023722805,211.97460679248616,1561.5026507721282,40.0,60.0,10.0,95.0
1,475000,758.2906103670591,895.2355985075612,212.57447217410953,1504.1499426128344,20.0,70.0,15.0,65.0
1,500000,510.92949495773627,988.9166697041626,771.2721955281537,1609.849528101459,0.0,75.0,60.0,75.0
2,0,3.5098577824886887,2.4328132045455275,2.6382283035665752,2.5489243324904236,0.0,0.0,0.0,0.0
2,25000,155.71746005496243,116.73075864473856,166.49103398117836,247.1594362625503,0.0,0.0,0.0,0.0
2,50000,339.25209817969534,427.18998816388284,202.98123794971616,515.6931934596184,0.0,0.0,0.0,0.0
2,75000,389.89056678617925,531.5057964043884,418.19606599196067,606.5321088712299,0.0,0.0,0.0,10.0
2,100000,408.8336036184439,330.2090101692546,380.0757181843991,859.6100765042718,5.0,0.0,5.0,5.0
2,125000,571.9687225567866,880.1291368247224,830.545160039974,1279.4795930476903,25.0,30.0,40.0,70.0
2,150000,522.8068595105672,1047.582559921415,922.9905039362864,1346.4899975721492,0.0,55.00000000000001,50.0,70.0
2,175000,696.0736947660276,715.6876841821755,802.5037719714634,1525.2418067257618,35.0,45.0,50.0,85.0
2,200000,680.41386671027,1440.3488678899707,1077.9282423544923,1495.992510722112,25.0,95.0,60.0,100.0
2,225000,717.6062143556206,1006.2426578789,397.6261270654666,1540.8376233891584,20.0,60.0,20.0,90.0
2,250000,784.754585539021,1470.3151338708587,907.5270573566777,1575.9838331987617,40.0,80.0,55.00000000000001,95.0
2,275000,901.6868290718579,1487.0930264287977,1113.8931092155547,1613.8533016123808,45.0,80.0,70.0,85.0
2,300000,772.4102347600543,1570.4951565934812,973.9710259651176,1605.0481060336576,30.0,100.0,65.0,95.0
2,325000,1161.1004380639758,1493.8626322979574,1139.9438729698245,1629.8056857938877,75.0,95.0,85.0,100.0
2,350000,1009.0618758761848,1381.3373164827121,1036.2918209605523,1581.2098853140828,55.00000000000001,65.0,55.00000000000001,95.0
2,375000,602.4870786984102,1493.627038003318,337.2214219052221,1627.7287420812995,30.0,90.0,30.0,100.0
2,400000,446.72570996776705,1405.2041128435787,692.0775380699739,1565.9436925490331,20.0,85.0,30.0,85.0
2,425000,800.9762517467741,1357.2623730430555,930.8842949682178,1636.5802852628753,40.0,75.0,70.0,95.0
2,450000,785.1371249834887,1372.0050519153178,1270.5136987585186,1583.5825869499706,30.0,95.0,85.0,95.0
2,475000,1021.3126207371315,1366.049861173356,867.3626650736107,1646.7007157624698,65.0,85.0,65.0,100.0
2,500000,546.6751128943466,1277.5693515557439,1052.4914368468164,1637.5928523486946,25.0,85.0,80.0,90.0
3,0,7.462448334170949,7.737208861584304,7.5709890976160406,8.28178580515899,0.0,0.0,0.0,0.0
3,25000,87.32698553330775,65.17919727694645,57.365317430218376,123.41611446717461,0.0,0.0,0.0,0.0
3,50000,194.4407227952848,75.27181680900108,13.949630727970634,297.58088496628045,0.0,0.0,0.0,0.0
3,75000,361.27369295998653,346.0399173729201,117.25437800781947,477.9409314895689,5.0,0.0,0.0,0.0
3,100000,582.3275687584304,364.70601454990685,258.4754918770297,404.6267599122599,25.0,0.0,0.0,0.0
3,125000,454.4678287454676,661.5337869047332,765.0103951607365,1093.5718416930176,15.0,0.0,25.0,45.0
3,150000,477.0963484724052,626.662686884834,616.5335924040681,1262.6153877955862,10.0,0.0,25.0,55.00000000000001
3,175000,527.8148861134353,1028.1638659609102,906.9623274048172,1576.1228874589317,20.0,45.0,55.00000000000001,100.0
3,200000,796.9076364112552,775.8674455911663,163.82010081242333,1372.8340511701565,45.0,40.0,10.0,70.0
3,225000,727.1621279971317,1553.6282522195484,1448.6106731582106,1588.7885211930611,35.0,80.0,85.0,95.0
3,250000,693.5690908814664,1165.1549356872376,1178.0251545529886,1451.653799556238,20.0,60.0,75.0,80.0
3,275000,811.7260992657386,1500.7238783417154,1068.5946395747276,1526.0224587353528,25.0,75.0,70.0,80.0
3,300000,1015.5263455377011,1599.2799151033628,1477.4880582016892,1584.5477993877605,60.0,95.0,95.0,55.00000000000001
3,325000,594.440925679047,1474.1919276799774,1115.1641129636532,1626.8284576351755,20.0,95.0,70.0,95.0
3,350000,687.8231989319146,1468.3593594619829,988.3070933455996,1643.714898822643,35.0,95.0,65.0,100.0
3,375000,742.9302373215003,1097.1759278618242,807.1256130780882,1640.7780851661228,35.0,60.0,40.0,100.0
3,400000,707.946346408156,1520.1233593242243,1143.647970173505,1682.5447801168077,35.0,90.0,75.0,100.0
3,425000,735.4701507642473,1557.081603585789,1234.9022024806413,1625.727549915458,30.0,90.0,85.0,90.0
3,450000,580.7171575928893,1430.5096617712013,1165.9388957266929,1608.2425318956841,15.0,80.0,70.0,95.0
3,475000,330.1403264894452,1479.9937951887082,928.103935898593,1549.4103744871377,10.0,100.0,65.0,95.0
3,500000,438.26065601104494,1356.7619716633465,1003.6516976910759,1631.3179357862305,15.0,100.0,80.0,100.0
4,0,6.587981433921959,4.597737185479128,5.307432787772268,4.977066324092448,0.0,0.0,0.0,0.0
4,25000,18.635183000067627,8.00429022337048,20.879789517989273,9.125735371771043,0.0,0.0,0.0,0.0
4,50000,105.75396719056516,49.134781145075614,47.32694730930962,139.2668234761848,0.0,0.0,0.0,0.0
