seed,step,first_reward,third1_reward,third2_reward,first_success,third1_success,third2_success
1,0,5.4177920822124666,7.329425845165301,11.178181611092349,0.0,0.0,0.0
1,25000,159.09115478797327,10.968010051402864,21.907394013137093,0.0,0.0,0.0
1,50000,947.3143985333485,8.57366758065228,234.4398443128217,25.0,0.0,0.0
1,75000,1527.5873204352056,23.870205012255834,248.44188002493848,60.0,0.0,0.0
1,100000,1498.1632693575602,11.846994785385805,240.0869949862768,80.0,0.0,0.0
1,125000,1634.862578355419,6.60841587835367,274.08282285663836,85.0,0.0,0.0
1,150000,1662.0205798059906,239.72994512333966,349.48871724388306,95.0,15.0,0.0
1,175000,1680.4234236289078,203.45635620021167,311.91749613675864,90.0,10.0,0.0
1,200000,1698.7359768005444,268.17294152756335,334.40172712131624,100.0,15.0,0.0
1,225000,1632.8454945324759,265.501071948056,275.51387967230465,85.0,15.0,0.0
1,250000,1698.8930459835967,277.44746794492863,329.1831984264068,95.0,10.0,0.0
1,275000,1751.168430746987,621.4318965760011,362.0017310373404,100.0,35.0,0.0
1,300000,1732.5185971454582,475.46796526978943,361.53444626017324,95.0,25.0,0.0
1,325000,1750.6776228040678,696.6683252634385,341.3211594721427,100.0,35.0,0.0
1,350000,1734.4392899013499,347.84615189465956,391.97233470376773,100.0,25.0,0.0
1,375000,1735.6018336281911,599.7274979902603,359.9593364260647,95.0,35.0,0.0
1,400000,1733.4644232376643,637.0355094931969,453.0112062234878,95.0,40.0,0.0
1,425000,1727.949701993962,718.3418556120158,490.4727682538244,100.0,40.0,0.0
1,450000,1716.4844067077188,932.1486918436382,564.3744671829361,100.0,50.0,0.0
1,475000,1710.1188027852525,562.5926574205811,603.5363802621114,100.0,35.0,0.0
1,500000,1357.088620308783,633.4784696874415,491.0705805648786,60.0,35.0,0.0
2,0,2.761024751482497,3.9296335979615664,2.8533004200173457,0.0,0.0,0.0
2,25000,69.44184579960098,6.3138180750558295,12.284416489460565,10.0,0.0,0.0
2,50000,301.7774745181862,45.5640049716081,84.9003945120314,25.0,0.0,5.0
2,75000,624.4421755621252,230.30639684330944,456.2940733747554,55.00000000000001,5.0,35.0
2,100000,684.2577313007548,424.7253405334567,592.5863525676266,50.0,0.0,30.0
2,125000,792.2939850394665,471.37015936131894,527.3635708357733,60.0,0.0,35.0
2,150000,1090.2902167880334,685.3902898342927,281.6471325859337,85.0,0.0,15.0
2,175000,944.1726085312515,677.6816329572681,769.5989178709534,70.0,0.0,45.0
2,200000,1041.92101954684,1055.1770910166906,772.0715276283861,80.0,0.0,55.00000000000001
2,225000,1041.5484053498776,1212.3317703548655,1131.2683111335505,75.0,0.0,70.0
2,250000,1206.6461056592857,1136.2332075592421,1063.653035924488,95.0,5.0,60.0
2,275000,1260.5881482458024,1281.4368218723512,1057.4773821565332,95.0,5.0,60.0
2,300000,1158.4505186854008,1444.2852580975605,1285.8239448347115,90.0,20.0,75.0
2,325000,1058.8979262760427,1400.5936500724183,1128.2588384992787,75.0,15.0,65.0
2,350000,1346.3369963800599,1398.112515215239,1219.8038712905702,95.0,10.0,75.0
2,375000,1293.4924652092109,1477.524375903639,1630.3741409806794,90.0,20.0,100.0
2,400000,1253.4556844598478,1504.0569572413604,1424.2110271786955,90.0,25.0,85.0
2,425000,1359.8021862176527,1455.9364345278182,1521.8951574870903,95.0,40.0,90.0
2,450000,1315.912908267149,1410.8710689847753,1599.4241275576192,95.0,20.0,90.0
2,475000,1515.2958492480118,1495.5781300573753,1659.624472001785,100.0,10.0,100.0
2,500000,1472.4381261575704,1514.8547561120959,1528.4074218939306,95.0,40.0,90.0
3,0,13.919141947021496,19.616237976055253,13.167195516695704,0.0,0.0,0.0
3,25000,14.430652427648539,82.22551647551785,26.814687825005432,0.0,5.0,0.0
3,50000,138.62243639506943,576.044322015845,74.36213890737787,0.0,5.0,5.0
3,75000,1079.3132266019188,1070.6690298677827,4.66279993784536,40.0,20.0,0.0
3,100000,1396.9048907084452,820.9058846183474,12.053532175195341,65.0,25.0,0.0
3,125000,1544.0077544594733,846.5202751579615,3.4592562164828324,60.0,10.0,0.0
3,150000,1680.5937735233463,1255.6305668008038,21.162673272650263,90.0,40.0,0.0
3,175000,1709.998881277519,1110.2484573277634,314.61465890665517,90.0,20.0,20.0
3,200000,1672.7962374786862,1173.0472903266977,88.45310492030538,90.0,15.0,10.0
3,225000,1704.1950113649232,1058.278936296605,292.43895329212023,95.0,10.0,20.0
3,250000,1741.4636987921945,1188.2437841822082,827.4917838286871,100.0,25.0,65.0
3,275000,1739.8149790940229,1423.2586480817104,455.12237757253604,100.0,15.0,30.0
3,300000,1654.6448650519262,1284.199349720738,851.149935612035,85.0,20.0,50.0
3,325000,1736.963502466751,1198.0757910157845,824.8633726126685,90.0,20.0,45.0
3,350000,1740.8922702174652,1374.0072651087412,816.558813871515,100.0,50.0,60.0
3,375000,1699.5938507488972,1281.8079318523182,1023.6520347917451,90.0,30.0,60.0
3,400000,1675.7655042060837,1487.8433428707945,1411.304719847659,95.0,25.0,90.0
3,425000,1741.8852156517992,1279.889611421861,1156.9297565294542,100.0,25.0,65.0
3,450000,1615.6607073311911,1419.2636098878293,1517.315247270979,95.0,40.0,90.0
3,475000,1754.7462143953799,1419.0860577212593,1443.6574325734432,100.0,25.0,85.0
3,500000,1675.8465089870806,1349.7982075195455,1361.80592314454,95.0,40.0,85.0
4,0,6.706813470110954,6.563091748241794,5.938257388243121,0.0,0.0,0.0
4,25000,174.73201333324957,79.17441116263007,313.39453234145185,5.0,0.0,30.0
4,50000,603.0316769913389,87.40134384456998,407.2014013661104,0.0,0.0,25.0
4,75000,1247.9648145113613,125.50199833635551,477.4175422418008,30.0,5.0,30.0
4,100000,1442.0270674702338,370.25551017955905,470.8691860441824,50.0,15.0,30.0
4,125000,1454.3092992915626,432.96448315646404,529.2513157603589,70.0,25.0,50.0
4,150000,1646.0872735724545,437.0085456033559,722.9324972219722,85.0,20.0,50.0
4,175000,1527.3265723405061,332.2089666225455,566.8171028582638,75.0,15.0,40.0
4,200000,1650.746756942691,354.4398304671089,697.8751451656523,85.0,15.0,40.0
4,225000,1660.2198230275178,620.9476898339855,775.5793899582733,85.0,30.0,60.0
4,250000,1597.6606194660758,610.7677914839837,886.7170307776805,95.0,20.0,65.0
4,275000,1637.3316420454896,927.5289595748691,880.7741771299759,90.0,50.0,70.0
4,300000,1640.1129510679234,978.8156585994872,1069.3246800177842,85.0,30.0,85.0
4,325000,1663.959002283204,745.1545628764177,1000.960726353415,95.0,25.0,75.0
4,350000,1654.8809187110141,784.7859438186155,1139.4202453973166,90.0,25.0,80.0
4,375000,1561.5726770584276,476.10663769474195,1086.794989806821,80.0,15.0,75.0
4,400000,1703.5514228105712,798.616004911257,827.1603681590165,95.0,10.0,55.00000000000001
4,425000,1648.7188199669254,1036.984139204445,908.6552019065659,95.0,35.0,65.0
4,450000,1721.0184245777778,948.7303062797739,1148.7328633341954,100.0,25.0,80.0
4,475000,1677.5458638930154,638.9584599245915,1117.0299349282207,90.0,10.0,75.0
4,500000,1703.4932514841835,1155.1339164559372,1072.3032391402203,95.0,15.0,85.0
5,0,5.621538672533143,16.611140406275194,10.024511918031042,0.0,0.0,0.0
5,25000,100.51685083053732,6.460966238974386,3.7534852367068146,5.0,0.0,0.0
5,50000,156.18153491769047,454.00936373355734,4.200868785416165,10.0,0.0,0.0
5,75000,52.95842631699236,357.92061957596053,3.2181975711314683,0.0,0.0,0.0
5,100000,321.13125329501065,517.3929191907134,133.14528890905333,40.0,0.0,10.0
5,125000,306.9556650768902,559.2951874245048,540.2639846148479,30.0,0.0,40.0
5,150000,473.89348385899,647.0414340523209,801.6942408035868,40.0,0.0,60.0
5,175000,843.3444695012255,631.3670182781526,330.0014109115492,65.0,0.0,35.0
5,200000,962.336678152652,694.2959529664437,306.71127336488837,60.0,0.0,25.0
5,225000,1412.9478497987898,981.480541531165,384.526690252481,85.0,0.0,35.0
5,250000,1597.8896213142227,996.3144297094748,838.9116128844922,100.0,0.0,70.0
5,275000,1576.8276347777262,1047.2900921497153,825.2793744172893,95.0,0.0,65.0
5,300000,1550.161244395232,1180.0696544541975,698.5465329778859,95.0,0.0,50.0
5,325000,1590.232197839511,1277.9667937861766,762.099987594109,95.0,0.0,60.0
5,350000,1629.5466009403115,1259.5210405533073,838.6375136390837,90.0,5.0,70.0
5,375000,1696.4668033887524,1273.924445640811,769.8933221601529,100.0,5.0,60.0
5,400000,1677.8512564690711,1431.331416816276,591.5936648124873,90.0,30.0,45.0
5,425000,1705.7044695611512,1398.3441147159713,621.863040218505,100.0,20.0,50.0
5,450000,1585.8148264038757,1456.7792075686953,726.8014614221904,90.0,30.0,55.00000000000001
5,475000,1707.805581896202,1480.403235795607,994.4442583944298,100.0,10.0,80.0
5,500000,1717.0719910279186,1494.7019453415628,929.0500610851777,95.0,15.0,70.0
