seed,step,first_reward,third1_reward,third2_reward,first_success,third1_success,third2_success
1,0,2.311773624829948,2.609654732560739,2.549332127440721,0.0,0.0,0.0
1,25000,20.987932283990084,11.99137957561761,15.011561291851104,0.0,0.0,0.0
1,50000,20.625315864384174,18.14298973725381,17.913304211758078,0.0,0.0,0.0
1,75000,22.505165017391846,18.586025464907287,17.670489994995297,0.0,0.0,0.0
1,100000,25.410247160866856,17.683273511601147,19.420561191253363,0.0,0.0,0.0
1,125000,25.791514566354454,21.901528319902717,21.311861965991557,0.0,0.0,0.0
1,150000,25.983210411295296,20.934683247469366,21.188094463944434,5.0,0.0,0.0
1,175000,26.45190274119377,24.06944390423596,21.238151023723184,5.0,10.0,0.0
1,200000,26.125565092684703,22.10749268643558,21.325058274716138,5.0,10.0,0.0
1,225000,26.57784055750817,24.238186051137745,21.977539973519743,5.0,0.0,0.0
1,250000,30.08543017581105,26.74651168566197,22.25882870964706,20.0,15.0,0.0
1,275000,31.660475626029076,24.95951011478901,23.898977291584014,30.0,10.0,0.0
1,300000,40.57072495315224,32.84083002470434,22.885701317712666,80.0,50.0,0.0
1,325000,43.72455075997859,33.12549827639013,24.648375637456773,100.0,60.0,0.0
1,350000,44.02427902054042,36.857729382067916,24.291552511230112,100.0,70.0,5.0
1,375000,43.49134604409337,36.93004193007946,24.981762637384236,95.0,80.0,5.0
1,400000,43.91801999937743,40.55741571933031,25.464800288528203,95.0,80.0,5.0
1,425000,43.92570698335767,36.48608711957932,26.69552007354796,100.0,75.0,5.0
1,450000,43.67203900180757,40.753223976306614,27.925505477935076,100.0,90.0,20.0
1,475000,43.960997704975306,39.73495923168957,32.85403140634298,90.0,85.0,35.0
1,500000,44.33897553049028,41.91522965952754,31.003565499186514,100.0,90.0,35.0
2,0,3.432217266224325,4.763119639828801,4.338735062815249,0.0,0.0,0.0
2,25000,21.14983408469707,10.447480016574264,16.411855510436,0.0,0.0,0.0
2,50000,22.284004693478344,13.454579549205642,19.476223346218468,0.0,0.0,0.0
2,75000,23.38771829288453,16.332874556072056,21.39643955267966,0.0,0.0,0.0
2,100000,24.215723020210863,20.12724055889994,22.03680994939059,0.0,0.0,0.0
