
=== joint_distill_mse ===
Command:
/home/medcvr/miniconda3/envs/vsmae/bin/python3.10 /home/medcvr/Desktop/hamza/multicam-vit/MultiModalViT/pretrain_vtmae_joint_distill.py --env_name button-press-topdown-v3 --camera_names gripperPOV corner2 corner3 --frame_stack 3 --action_repeat 2 --patch_size 6 --batch_size 32 --log_every 100 --save_every 1000 --vis_every 10000 --steps 50000 --distill_mode mse --out /home/medcvr/Desktop/hamza/multicam-vit/MultiModalViT/seq_runs2/joint_distill_mse_20260404_002915/vtmae_joint_distill_mse_50000.pt --preview_dir /home/medcvr/Desktop/hamza/multicam-vit/MultiModalViT/seq_runs2/joint_distill_mse_20260404_002915/previews
[JOINT-3CAM] channels=9, views=3, size=(84,84)
[JOINT-3CAM] cameras=['gripperPOV', 'corner2', 'corner3']
[JOINT-3CAM] steps=50000 distill_mode=mse single_recon=1 warmup=0
VT-MAE: Multi-view ViT patch tokeniser (3-view dynamic masking)
[Params] total=4,860,244 trainable=4,860,244
[Weights] full_recon=1.0 single_recon=1.0 distill=1.0
[1700/50000] total=0.0141 ema=0.0159 full=0.0060 single=0.0080 distill=0.0000 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0084 full_v1=0.0034 full_v2=0.0063 single_by_cam[cam0=0.0076 cam1=0.0085 cam2=0.0080] distill_by_cam[cam0=0.0000 cam1=0.0000 cam2=0.0000]
[1800/50000] total=0.0147 ema=0.0158 full=0.0062 single=0.0084 distill=0.0000 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0099 full_v1=0.0033 full_v2=0.0056 single_by_cam[cam0=0.0077 cam1=0.0089 cam2=0.0085] distill_by_cam[cam0=0.0000 cam1=0.0000 cam2=0.0000]
[1900/50000] total=0.0139 ema=0.0152 full=0.0059 single=0.0079 distill=0.0001 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0085 full_v1=0.0033 full_v2=0.0060 single_by_cam[cam0=0.0075 cam1=0.0083 cam2=0.0078] distill_by_cam[cam0=0.0001 cam1=0.0000 cam2=0.0001]
[2000/50000] total=0.0110 ema=0.0145 full=0.0047 single=0.0063 distill=0.0000 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0069 full_v1=0.0024 full_v2=0.0047 single_by_cam[cam0=0.0059 cam1=0.0067 cam2=0.0062] distill_by_cam[cam0=0.0000 cam1=0.0000 cam2=0.0000]
[2100/50000] total=0.0139 ema=0.0147 full=0.0060 single=0.0079 distill=0.0000 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0072 full_v1=0.0036 full_v2=0.0072 single_by_cam[cam0=0.0076 cam1=0.0083 cam2=0.0077] distill_by_cam[cam0=0.0000 cam1=0.0000 cam2=0.0000]
[2200/50000] total=0.0149 ema=0.0144 full=0.0064 single=0.0085 distill=0.0000 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0099 full_v1=0.0035 full_v2=0.0057 single_by_cam[cam0=0.0079 cam1=0.0089 cam2=0.0086] distill_by_cam[cam0=0.0000 cam1=0.0000 cam2=0.0000]
[2300/50000] total=0.0157 ema=0.0144 full=0.0067 single=0.0090 distill=0.0000 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0121 full_v1=0.0026 full_v2=0.0053 single_by_cam[cam0=0.0081 cam1=0.0097 cam2=0.0093] distill_by_cam[cam0=0.0000 cam1=0.0000 cam2=0.0000]
[2400/50000] total=0.0136 ema=0.0138 full=0.0059 single=0.0077 distill=0.0000 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0086 full_v1=0.0034 full_v2=0.0057 single_by_cam[cam0=0.0074 cam1=0.0081 cam2=0.0077] distill_by_cam[cam0=0.0000 cam1=0.0000 cam2=0.0000]
[2500/50000] total=0.0144 ema=0.0136 full=0.0059 single=0.0085 distill=0.0000 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0079 full_v1=0.0032 full_v2=0.0067 single_by_cam[cam0=0.0076 cam1=0.0091 cam2=0.0087] distill_by_cam[cam0=0.0000 cam1=0.0000 cam2=0.0000]
[2600/50000] total=0.0112 ema=0.0135 full=0.0047 single=0.0064 distill=0.0000 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0065 full_v1=0.0026 full_v2=0.0050 single_by_cam[cam0=0.0060 cam1=0.0068 cam2=0.0064] distill_by_cam[cam0=0.0000 cam1=0.0000 cam2=0.0000]
