
=== joint ===
Command:
/home/medcvr/miniconda3/envs/vsmae/bin/python3.10 /home/medcvr/Desktop/hamza/multicam-vit/MultiModalViT/pretrain_vtmae_joint_distill.py --camera_names gripperPOV corner corner2 --frame_stack 3 --action_repeat 2 --patch_size 6 --batch_size 32 --log_every 100 --save_every 1000 --vis_every 10000 --steps 50000 --out /home/medcvr/Desktop/hamza/multicam-vit/MultiModalViT/seq_runs/joint_20260329_173506/vtmae_joint_distill_50000.pt --preview_dir /home/medcvr/Desktop/hamza/multicam-vit/MultiModalViT/seq_runs/joint_20260329_173506/previews
[JOINT-3CAM] channels=9, views=3, size=(84,84)
[JOINT-3CAM] cameras=['gripperPOV', 'corner', 'corner2']
[JOINT-3CAM] steps=50000 distill_mode=cosine single_recon=1 warmup=0
VT-MAE: Multi-view ViT patch tokeniser (3-view dynamic masking)
[Params] total=4,860,244 trainable=4,860,244
[Weights] full_recon=1.0 single_recon=1.0 distill=1.0
[1700/50000] total=0.0120 ema=0.0141 full=0.0052 single=0.0068 distill=0.0000 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0077 full_v1=0.0046 full_v2=0.0033 single_by_cam[cam0=0.0064 cam1=0.0070 cam2=0.0071] distill_by_cam[cam0=0.0000 cam1=0.0000 cam2=0.0000]
[1800/50000] total=0.0132 ema=0.0139 full=0.0056 single=0.0076 distill=0.0000 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0087 full_v1=0.0048 full_v2=0.0032 single_by_cam[cam0=0.0069 cam1=0.0078 cam2=0.0080] distill_by_cam[cam0=0.0000 cam1=0.0000 cam2=0.0000]
[1900/50000] total=0.0120 ema=0.0131 full=0.0050 single=0.0070 distill=0.0000 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0071 full_v1=0.0046 full_v2=0.0032 single_by_cam[cam0=0.0064 cam1=0.0072 cam2=0.0074] distill_by_cam[cam0=0.0000 cam1=0.0000 cam2=0.0000]
[2000/50000] total=0.0096 ema=0.0123 full=0.0041 single=0.0055 distill=0.0000 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0065 full_v1=0.0034 full_v2=0.0024 single_by_cam[cam0=0.0050 cam1=0.0056 cam2=0.0058] distill_by_cam[cam0=0.0000 cam1=0.0000 cam2=0.0000]
[2100/50000] total=0.0117 ema=0.0122 full=0.0050 single=0.0067 distill=0.0000 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0065 full_v1=0.0050 full_v2=0.0034 single_by_cam[cam0=0.0064 cam1=0.0067 cam2=0.0071] distill_by_cam[cam0=0.0000 cam1=0.0000 cam2=0.0000]
[2200/50000] total=0.0132 ema=0.0120 full=0.0055 single=0.0077 distill=0.0000 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0086 full_v1=0.0044 full_v2=0.0035 single_by_cam[cam0=0.0067 cam1=0.0081 cam2=0.0082] distill_by_cam[cam0=0.0000 cam1=0.0000 cam2=0.0000]
[2300/50000] total=0.0128 ema=0.0119 full=0.0051 single=0.0077 distill=0.0001 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0096 full_v1=0.0033 full_v2=0.0024 single_by_cam[cam0=0.0062 cam1=0.0083 cam2=0.0085] distill_by_cam[cam0=0.0000 cam1=0.0001 cam2=0.0001]
[2400/50000] total=0.0139 ema=0.0118 full=0.0059 single=0.0079 distill=0.0000 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0080 full_v1=0.0043 full_v2=0.0054 single_by_cam[cam0=0.0075 cam1=0.0083 cam2=0.0081] distill_by_cam[cam0=0.0000 cam1=0.0000 cam2=0.0000]
[2500/50000] total=0.0118 ema=0.0117 full=0.0046 single=0.0071 distill=0.0001 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0067 full_v1=0.0038 full_v2=0.0033 single_by_cam[cam0=0.0060 cam1=0.0076 cam2=0.0078] distill_by_cam[cam0=0.0000 cam1=0.0002 cam2=0.0002]
[2600/50000] total=0.0097 ema=0.0115 full=0.0040 single=0.0057 distill=0.0000 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0057 full_v1=0.0037 full_v2=0.0025 single_by_cam[cam0=0.0050 cam1=0.0059 cam2=0.0061] distill_by_cam[cam0=0.0000 cam1=0.0000 cam2=0.0000]
